19:34:58 INFO  : Launching XSCT server: xsct.bat -n  -interactive C:\Users\cihem\CPRE-488-Labs\MP-0\MP-0-vitis_VGA2\temp_xsdb_launch_script.tcl
19:34:58 INFO  : Registering command handlers for Vitis TCF services
19:34:59 INFO  : Platform repository initialization has completed.
19:35:00 INFO  : XSCT server has started successfully.
19:35:00 INFO  : Successfully done setting XSCT server connection channel  
19:35:00 INFO  : plnx-install-location is set to ''
19:35:00 INFO  : Successfully done setting workspace for the tool. 
19:35:00 INFO  : Successfully done query RDI_DATADIR 
19:36:16 INFO  : Result from executing command 'getProjects': VGA2_design_1_wrapper
19:36:16 INFO  : Result from executing command 'getPlatforms': 
19:36:16 INFO  : Platform 'VGA2_design_1_wrapper' is added to custom repositories.
19:36:21 INFO  : Platform 'VGA2_design_1_wrapper' is added to custom repositories.
19:37:58 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
19:37:58 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zed 210248526090" && level==0 && jtag_device_ctx=="jsn-Zed-210248526090-23727093-0"}' command is executed.
19:38:00 INFO  : FPGA configured successfully with bitstream "C:/Users/cihem/CPRE-488-Labs/MP-0/MP-0-vitis_VGA2/VGATest2/_ide/bitstream/VGA2_design_1_wrapper.bit"
19:38:34 INFO  : Result from executing command 'getProjects': VGA2_design_1_wrapper
19:38:34 INFO  : Result from executing command 'getPlatforms': VGA2_design_1_wrapper|C:/Users/cihem/CPRE-488-Labs/MP-0/MP-0-vitis_VGA2/VGA2_design_1_wrapper/export/VGA2_design_1_wrapper/VGA2_design_1_wrapper.xpfm
19:38:34 INFO  : Checking for BSP changes to sync application flags for project 'VGATest2'...
