Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_1/U0/probe0_1[5:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,1e
1,1,0,1e
2,2,0,1e
3,3,0,1e
4,4,0,1e
5,5,0,1e
6,6,0,1e
7,7,0,1e
8,8,0,1e
9,9,0,1e
10,10,0,1e
11,11,0,1e
12,12,0,1e
13,13,0,1e
14,14,0,1e
15,15,0,1e
16,16,0,1e
17,17,0,1e
18,18,0,1e
19,19,0,1e
20,20,0,1e
21,21,0,1e
22,22,0,1e
23,23,0,1e
24,24,0,1e
25,25,0,1e
26,26,0,1e
27,27,0,1e
28,28,0,1e
29,29,0,1e
30,30,0,1e
31,31,0,1e
32,32,0,1e
33,33,0,1e
34,34,0,1e
35,35,0,1e
36,36,0,1e
37,37,0,1e
38,38,0,1e
39,39,0,1e
40,40,0,1e
41,41,0,1e
42,42,0,1e
43,43,0,1e
44,44,0,1e
45,45,0,1e
46,46,0,1e
47,47,0,1e
48,48,0,1e
49,49,0,1e
50,50,0,1e
51,51,0,1e
52,52,0,1e
53,53,0,1e
54,54,0,1e
55,55,0,1e
56,56,0,1e
57,57,0,1e
58,58,0,1e
59,59,0,1e
60,60,0,1e
61,61,0,1e
62,62,0,1e
63,63,0,1e
64,64,0,1e
65,65,0,1e
66,66,0,1e
67,67,0,1e
68,68,0,1e
69,69,0,1e
70,70,0,1e
71,71,0,1e
72,72,0,1e
73,73,0,1e
74,74,0,1e
75,75,0,1e
76,76,0,1e
77,77,0,1e
78,78,0,1e
79,79,0,1e
80,80,0,1e
81,81,0,1e
82,82,0,1e
83,83,0,1e
84,84,0,1e
85,85,0,1e
86,86,0,1e
87,87,0,1e
88,88,0,1e
89,89,0,1e
90,90,0,1e
91,91,0,1e
92,92,0,1e
93,93,0,1e
94,94,0,1e
95,95,0,1e
96,96,0,1e
97,97,0,1e
98,98,0,1e
99,99,0,1e
100,100,0,1e
101,101,0,1e
102,102,0,1e
103,103,0,1e
104,104,0,1e
105,105,0,1e
106,106,0,1e
107,107,0,1e
108,108,0,1e
109,109,0,1e
110,110,0,1e
111,111,0,1e
112,112,0,1e
113,113,0,1e
114,114,0,1e
115,115,0,1e
116,116,0,1e
117,117,0,1e
118,118,0,1e
119,119,0,1e
120,120,0,1e
121,121,0,1e
122,122,0,1e
123,123,0,1e
124,124,0,1e
125,125,0,1e
126,126,0,1e
127,127,0,1e
128,128,0,1e
129,129,0,1e
130,130,0,1e
131,131,0,1e
132,132,0,1e
133,133,0,1e
134,134,0,1e
135,135,0,1e
136,136,0,1e
137,137,0,1e
138,138,0,1e
139,139,0,1e
140,140,0,1e
141,141,0,1e
142,142,0,1e
143,143,0,1e
144,144,0,1e
145,145,0,1e
146,146,0,1e
147,147,0,1e
148,148,0,1e
